title;sinopsis;main genre;second genre;author;num_page;avg_rating;rating;myrate;date_read;date_added
The Love Hypothesis;As a third-year Ph.D. candidate, Olive Smith doesn't believe in lasting romantic relationships--but her best friend does, and that's what got her into this situation. Convincing Anh that Olive is dating and well on her way to a happily ever after was always going to take more than hand-wavy Jedi mind tricks: Scientists require proof. So, like any self-respecting biologist, Olive panics and kisses the first man she sees.That man is none other than Adam Carlsen, a young hotshot professor--and well-known ass. Which is why Olive is positively floored when Stanford's reigning lab tyrant agrees to keep her charade a secret and be her fake boyfriend. But when a big science conference goes haywire, putting Olive's career on the Bunsen burner, Adam surprises her again with his unyielding support and even more unyielding... six-pack abs.Suddenly their little experiment feels dangerously close to combustion. And Olive discovers that the only thing more complicated than a hypothesis on love is putting her own heart under the microscope.;Romance;Contemporary;Hazelwood, Ali;356;4.23;4;really liked it;Apr 21, 2022;Apr 03, 2022
Crooked Kingdom;Welcome to the world of the Grisha.Kaz Brekker and his crew of deadly outcasts have just pulled off a heist so daring even they didn't think they'd survive. But instead of divvying up a fat reward, they're right back to fighting for their lives.Double-crossed and badly weakened, the crew is low on resources, allies, and hope. As powerful forces from around the world descend on Ketterdam to root out the secrets of the dangerous drug known as jurda parem, old rivals and new enemies emerge to challenge Kaz's cunning and test the team's fragile loyalties.A war will be waged on the city's dark and twisting streets - a battle for revenge and redemption that will decide the fate of the Grisha world.;Fantasy;Young Adult;Bardugo, Leigh;561;4.61;5;it was amazing;Apr 19, 2022;Apr 09, 2022
Six of Crows;Ketterdam: a bustling hub of international trade where anything can be had for the right price—and no one knows that better than criminal prodigy Kaz Brekker. Kaz is offered a chance at a deadly heist that could make him rich beyond his wildest dreams. But he can’t pull it off alone. . . .A convict with a thirst for revengeA sharpshooter who can’t walk away from a wagerA runaway with a privileged pastA spy known as the WraithA Heartrender using her magic to survive the slumsA thief with a gift for unlikely escapesKaz’s crew is the only thing that might stand between the world and destruction—if they don’t kill each other first.;Fantasy;Young Adult;Bardugo, Leigh;465;4.49;5;it was amazing;Apr 09, 2022;Nov 10, 2021
A Kingdom of Flesh and Fire;A Betrayal…Everything Poppy has ever believed in is a lie, including the man she was falling in love with. Thrust among those who see her as a symbol of a monstrous kingdom, she barely knows who she is without the veil of the Maiden. But what she does know is that nothing is as dangerous to her as him. The Dark One. The Prince of Atlantia. He wants her to fight him, and that’s one order she’s more than happy to obey. He may have taken her, but he will never have her.A Choice...Casteel Da’Neer is known by many names and many faces. His lies are as seductive as his touch. His truths as sensual as his bite. Poppy knows better than to trust him. He needs her alive, healthy, and whole to achieve his goals. But he’s the only way for her to get what she wants—to find her brother Ian and see for herself if he has become a soulless Ascended. Working with Casteel instead of against him presents its own risks. He still tempts her with every breath, offering up all she’s ever wanted. Casteel has plans for her. Ones that could expose her to unimaginable pleasure and unfathomable pain. Plans that will force her to look beyond everything she thought she knew about herself—about him. Plans that could bind their lives together in unexpected ways that neither kingdom is prepared for. And she’s far too reckless, too hungry, to resist the temptation.A Secret…But unrest has grown in Atlantia as they await the return of their Prince. Whispers of war have become stronger, and Poppy is at the very heart of it all. The King wants to use her to send a message. The Descenters want her dead. The wolven are growing more unpredictable. And as her abilities to feel pain and emotion begin to grow and strengthen, the Atlantians start to fear her. Dark secrets are at play, ones steeped in the blood-drenched sins of two kingdoms that would do anything to keep the truth hidden. But when the earth begins to shake, and the skies start to bleed, it may already be too late.;Fantasy;Romance;Armentrout, Jennifer L.;637;4.42;5;it was amazing;Apr 06, 2022;Apr 05, 2022
De sangre y cenizas;Una Doncella…;Fantasy;Romance;Armentrout, Jennifer L.;672;4.28;5;it was amazing;Apr 05, 2022;Apr 03, 2022
La ladrona de libros;Érase una vez un mundo donde las noches eran largas y la Muerte contaba su propia historia. Érase una vez una ladrona que robaba libros y regalaba palabras. En el pueblo vivía una niña que quería leer, un hombre que tocaba el acordeón y un joven judío que escribía cuentos hermosos para escapar del horror de la guerra. Al cabo de un tiempo, la niña se convirtió en una ladrona que robaba libros y regalaba palabras. Y con esas palabras se escribió una historia hermosa y cruel.   Una novela tremendamente humana, emocionante e inolvidable, que describe las peripecias de una niña alemana de nueve años desde que es dada en adopción por su madre hasta el final de la II Guerra Mundial. Su nueva familia, gente sencilla y nada afecta al nazismo, le enseña a leer y, a través de los libros, a distraerse durante los bombardeos y combatir la tristeza. Pero es el libro que ella misma está escribiendo el que finalmente le salvará la vida.;Historical Fiction;Fiction;Zusak, Markus;531;4.39;5;it was amazing;Apr 2022;Nov 10, 2021
A Court of Wings and Ruin;FEYRE WILL BRING VENGEANCE.She has left the Night Court - and her High Lord - and is playing a deadly game of deceit. In the Spring Court, Tamlin is making deals with the invading king threatening to bring Prythian to its knees, and Feyre is determined to uncover his plans. But to do so she must weave a web of lies, and one slip may spell doom not only for Feyre, but for her world as well.As mighty armies grapple for power, Feyre must decide who to trust amongst the dazzling and lethal High Lords - and hunt for allies in unexpected places. BUT WHILE WAR RAGES, IT IS HER HEART THAT WILL FACE THE GREATEST BATTLE.THE THRILLING THIRD BOOK IN #1 NEW YORK TIMES BESTSELLING FANTASY SERIES FROM SARAH J. MAAS.;Fantasy;Romance;Maas, Sarah J.;705;4.45;5;it was amazing;Mar 24, 2022;Mar 20, 2022
A Court of Mist and Fury;Feyre survived Amarantha's clutches to return to the Spring Court—but at a steep cost. Though she now has the powers of the High Fae, her heart remains human, and it can't forget the terrible deeds she performed to save Tamlin's people.Nor has Feyre forgotten her bargain with Rhysand, High Lord of the feared Night Court. As Feyre navigates its dark web of politics, passion, and dazzling power, a greater evil looms—and she might be key to stopping it. But only if she can harness her harrowing gifts, heal her fractured soul, and decide how she wishes to shape her future—and the future of a world cleaved in two.With more than a million copies sold of her beloved Throne of Glass series, Sarah J. Maas's masterful storytelling brings this second book in her seductive and action-packed series to new heights.;Fantasy;Romance;Maas, Sarah J.;626;4.63;5;it was amazing;Mar 20, 2022;Mar 17, 2022
A Court of Thorns and Roses;Feyre's survival rests upon her ability to hunt and kill – the forest where she lives is a cold, bleak place in the long winter months. So when she spots a deer in the forest being pursued by a wolf, she cannot resist fighting it for the flesh. But to do so, she must kill the predator and killing something so precious comes at a price ...Dragged to a magical kingdom for the murder of a faerie, Feyre discovers that her captor, his face obscured by a jewelled mask, is hiding far more than his piercing green eyes would suggest. Feyre's presence at the court is closely guarded, and as she begins to learn why, her feelings for him turn from hostility to passion and the faerie lands become an even more dangerous place. Feyre must fight to break an ancient curse, or she will lose him forever.;Fantasy;Romance;Maas, Sarah J.;432;4.20;4;really liked it;Mar 17, 2022;Jul 19, 2021
Un beso en París;La Torre Eiffel, Amélie y un montón de reyes que se llaman Luis. Esto es todo lo que Anna conoce de Francia. Por eso, cuando sus padres le anuncian que pasará un año en un internado de París, la idea no acaba de convencerla.Pero, en la Ciudad del Amor, conoce al chico ideal: Étienne St. Clair. Es listo, encantador y muy guapo. El único problema es que también tiene novia. ¿Conseguirá Anna el ansiado beso de su príncipe azul?El humor y la tensión que se respiran página a página en el debut literario de Stephanie Perkins te atraparán y te llegarán al corazón.;Romance;Young Adult;Perkins, Stephanie;434;3.98;2;it was ok;Mar 13, 2022;Mar 10, 2022
Persona normal;"Una grandiosa e increíble aventura para ser todo... excepto normal. Tenía un par de padres divertidos y jóvenes, llenos de sueños y de planes. Pero a mis doce años, cinco meses, tres días y dos horas y cuarto, aproximadamente, me quedé sin ellosDesde que el tío Paco se hizo cargo de él, Sebastián ha vivido aventuras increíbles: tuvo un encuentro inesperado con un enorme felino, conoció a uno de los últimos vampiros que viven en el DF; frente a su casa vio a un mítico personaje saltar de la góndola en la que viajaba, para rescatar a una joven de una inundación; consiguió un mapa estelar para un pobre extraterrestre perdido en la Tierra, sobrevivió el embate de un enorme monstruo marino, peleó al lado de los sioux para defender su territorio de los colonizadores? ¿Qué pasa con Sebastián? ¿Acaso no es una «persona normal»?";Young Adult;Contemporary;Taibo, Benito;216;4.41;5;it was amazing;Mar 02, 2022;Feb 27, 2022
Anne sin filtros;El sueño de Anne Shirley siempre ha sido ser escritora. Lo que nadie sabe es que, de hecho, ya lo es: online la conocen como Lady Cordelia y sus fanfics sobre El caballero del espejo, una de las series más famosas de los últimos tiempos, son de los más leídos de la red. Sólo Diana, su mejor amiga, artista y colaboradora, conoce su secreto. Y entonces aparece Blythe, un nuevo autor que de la noche a la mañana supera su récord de lecturas y que, para colmo, no tiene ningún reparo en mostrar su identidad. Gilbert, el chico que se esconde tras el nick de Blythe, es tan encantador como irritante, pero Anne no va a dejar que le arrebate su puesto. Sobre todo cuando Blythe le pone un reto delante: si él llega a 500.000 lecturas antes que ella, Lady Cordelia tendrá que revelar quién se esconde en realidad tras su cuenta.;Romance;LGBT;Parente, Iria G.;384;3.83;4;really liked it;Feb 17, 2022;Feb 16, 2022
Proyecto Hail Mary;A lone astronaut.An impossible mission.An ally he never imagined.Ryland Grace is the sole survivor on a desperate, last-chance mission - and if he fails, humanity and the earth itself will perish. Except that right now, he doesn't know that. He can't even remember his own name, let alone the nature of his assignment or how to complete it. All he knows is that he's been asleep for a very, very long time. And he's just been awakened to find himself millions of miles from home, with nothing but two corpses for company. His crewmates dead, his memories fuzzily returning, Ryland realizes that an impossible task now confronts him. Hurtling through space on this tiny ship, it's up to him to puzzle out an impossible scientific mystery-and conquer an extinction-level threat to our species.And with the clock ticking down and the nearest human being light-years away, he's got to do it all alone.Or does he?Project Hail Mary is a tale of discovery, speculation, and survival to rival The Martian -- while taking us to places it never dreamed of going.;Science Fiction;Fiction;Weir, Andy;543;4.52;5;it was amazing;Feb 10, 2022;Feb 10, 2022
Un cuento perfecto;¿Qué sucede cuando descubres que el final de tu cuento no es como soñabas?Érase una vez una mujer que lo tenía todo y un chico que no tenía nada.Érase una vez una historia de amor entre el éxito y la duda.Érase una vez un cuento perfecto.;Romance;Spanish Literature;Benavent, Elísabet;640;4.19;4;really liked it;Feb 2022;Feb 01, 2022
It Ends with Us;Sometimes it is the one who loves you who hurts you the most.Lily hasn’t always had it easy, but that’s never stopped her from working hard for the life she wants. She’s come a long way from the small town in Maine where she grew up — she graduated from college, moved to Boston, and started her own business. So when she feels a spark with a gorgeous neurosurgeon named Ryle Kincaid, everything in Lily’s life suddenly seems almost too good to be true.Ryle is assertive, stubborn, maybe even a little arrogant. He’s also sensitive, brilliant, and has a total soft spot for Lily. And the way he looks in scrubs certainly doesn’t hurt. Lily can’t get him out of her head. But Ryle’s complete aversion to relationships is disturbing. Even as Lily finds herself becoming the exception to his “no dating” rule, she can’t help but wonder what made him that way in the first place.As questions about her new relationship overwhelm her, so do thoughts of Atlas Corrigan — her first love and a link to the past she left behind. He was her kindred spirit, her protector. When Atlas suddenly reappears, everything Lily has built with Ryle is threatened.;Romance;Fiction;Hoover, Colleen;386;4.30;5;it was amazing;Jan 28, 2022;Jul 19, 2021
El chico de la última fila;¿Quién es Dylan Carbonell? ¿Ese chico indescifrable, de sonrisas invisibles y miradas impactantes, que copa las revistas y los medios de comunicación? ¿Un genio de la música? ¿La nueva promesa del rock and roll español?«Subí las escaleras que daban acceso al escenario y me di de bruces con los miles de rostros que me esperaban, impacientes por escuchar el concierto de su vida. Todos ellos me deseaban de alguna manera. Mi cuerpo. Mi mente. Mis manos en los trastes de la guitarra. Todos, menos uno: Hugo Cabana, que me observaba desde abajo con pereza. Cuyas primeras palabras hacia mí no fueron felicitaciones por el espectáculo que acababa de ofrecer ni alabanzas sobre mi físico. Me resultó increíble, porque yo soy Dylan Carbonell, un guaperas. Impactamos. Hugo y yo impactamos. Y fue el fin del silencio». Un concierto de rock and roll.Dos chicos. Uno, el cantante. Otro, el que acude para acompañar a sus amigos.Y el Mediterráneo esperando. El sol. Una pendiente muy inclinada y dos bicicletas. Una piscina y cabellos mojados sobre la frente. Miradas que se sostienen. Una tabla de surf y…¿Quién es el chico de la última fila?PORQUE NO EXISTE DISTANCIA SI TÚ ERES EL CAMINO.;Romance;LGBT;Herrero, Susanna;440;4.47;4;really liked it;Jan 25, 2022;Sep 22, 2021
Kings Rising;Damianos of Akielos has returned.His identity now revealed, Damen must face his master Prince Laurent as Damianos of Akielos, the man Laurent has sworn to kill.On the brink of a momentous battle, the future of both their countries hangs in the balance. In the south, Kastor's forces are massing. In the north, the Regent's armies are mobilising for war. Damen's only hope of reclaiming his throne is to fight together with Laurent against their usurpers.Forced into an uneasy alliance the two princes journey deep into Akielos, where they face their most dangerous opposition yet. But even if the fragile trust they have built survives the revelation of Damen's identity – can it stand against the Regent's final, deadly play for the throne?;Fantasy;LGBT;Pacat, C.S.;385;4.43;5;it was amazing;Jan 23, 2022;Jan 21, 2022
Captive Prince: Volume Two;With their countries on the brink of war, Damen and his new master, Prince Laurent, must exchange the intrigues of the palace for the sweeping might of the battlefield as they travel to the border to avert a lethal plot.Forced to hide his identity, Damen finds himself increasingly drawn to the dangerous, charismatic Laurent. But as the fledgling trust between the two men deepens, the truth of secrets from both their pasts is poised to deal them the crowning death blow . . .;Fantasy;Romance;Pacat, C.S.;216;4.38;5;it was amazing;Jan 22, 2022;Jan 21, 2022
Captive Prince;From global phenomenon C. S. Pacat comes the first in her critically acclaimed trilogy—with a bonus story.Damen is a warrior hero to his people, and the rightful heir to the throne of Akielos. But when his half brother seizes power, Damen is captured, stripped of his identity, and sent to serve the prince of an enemy nation as a pleasure slave.Beautiful, manipulative, and deadly, his new master, Prince Laurent, epitomizes the worst of the court at Vere. But in the lethal political web of the Veretian court, nothing is as it seems, and when Damen finds himself caught up in a play for the throne, he must work together with Laurent to survive and save his country.For Damen, there is just one rule: never, ever reveal his true identity. Because the one man Damen needs is the one man who has more reason to hate him than anyone else…Includes an exclusive extra story!;Fantasy;Romance;Pacat, C.S.;240;3.81;4;really liked it;Jan 21, 2022;Nov 10, 2021
Una maldición oscura y solitaria;Deben enamorarse para romper la maldición. Condenado por la maldición de una poderosa hechicera a repetir el otoño de sus dieciocho años, el príncipe Rhen, heredero del trono de Emberfall, pensó que sería fácil salvarse si todo lo que hacía falta era que una chica se enamorara de él. Pero eso fue antes de que se transformara en una bestia despiadada sedienta de destrucción. Antes de que arrasara con el castillo, destrozara a su familia y acabara con toda la esperanza. Para Harper, Nunca nada ha sido fácil. Abandonada por su padre, con su madre agonizante y un hermano que la subestima constantemente debido a su parálisis cerebral, Harper tuvo que aprender a ser fuerte para sobrevivir. Cuando intenta salvar a una extraña en las calles de Washington DC, termina siendo arrastrada a un mundo mágico. Deben romper la maldición para salvar al reino. Harper no sabe dónde está ni qué creer. ¿Un príncipe? ¿Una maldición? ¿Un monstruo? Al pasar tiempo con Rhen en esta tierra encantada, comienza a comprender qué es lo que está en juego. Y cuando Rhen se da cuenta de que Harper no es solo otra chica que conquistar, la esperanza vuelve a inundarlo. Pero fuerzas poderosas se ciernen sobre Emberfall… y hará falta más que una maldición rota para salvar a Harper, Rhen y su pueblo de la completa ruina.;Fantasy;Young Adult;Kemmerer, Brigid;348;4.01;3;liked it;Jan 18, 2022;Jan 17, 2022
Never Never;Charlie Wynwood and Silas Nash have been best friends since they could walk. They've been in love since the age of fourteen. But as of this morning... they are complete strangers. Their first kiss, their first fight, the moment they fell in love... every memory has vanished.Charlie and Silas must work together to uncover the truth about what happened to them and why. But the more they learn about the couple they used to be, the more they question why they were ever together to begin with.#1 New York Times bestselling author of Hopeless joins forces with the New York Times bestselling author of Mud Vein. Together, they have created a gripping, romantic tale unlike any other.;Romance;Young Adult;Hoover, Colleen;158;4;4;really liked it;Jan 15, 2022;Aug 14, 2021
A Thousand Boy Kisses;One kiss lasts a moment. But a thousand kisses can last a lifetime. One boy. One girl. A bond that is forged in an instant and cherished for a decade. A bond that neither time nor distance can break. A bond that will last forever. Or so they believe. When seventeen-year-old Rune Kristiansen returns from his native Norway to the sleepy town of Blossom Grove, Georgia, where he befriended Poppy Litchfield as a child, he has just one thing on his mind. Why did the girl who was one half of his soul, who promised to wait faithfully for his return, cut him off without a word of explanation? Rune's heart was broken two years ago when Poppy fell silent. When he discovers the truth, he finds that the greatest heartache is yet to come. A stand-alone young adult tearjerker romance, recommended for ages fourteen and up.;Romance;Young Adult;Cole, Tillie;316;4.16;5;it was amazing;Dec 17, 2021;Dec 15, 2021
Los hijos del rey;La esperada secuela del best seller del New York Times: Asesino de burjas. La bruja blanca.Los riesgos son mayores. Las brujas son más letales. Y el romance es aún más intenso. La muy esperada continuación del éxito de ventas del New York Times e Indiebound, Asesino de brujas: La bruja blanca, es perfecta para los fans de Sarah J. Maas.Adonde ella vaya, él irá.Donde ella se quede, él se quedará.Hasta que la muerte los separe.Lou, Reid, Coco y Ansel huyen no solo del aquelarre, sino también del reino y de la Iglesia. Son fugitivos y no tienen donde ocultarse.Para sobrevivir, necesitan aliados. Y unos muy poderosos. Pero mientras Lou se preocupa cada vez más por salvar a sus seres queridos, se adentra en el lado oscuro de la magia. Y el precio a pagar podría ser la persona a la que más teme perder: Reid.Ellos están unidos por un juramento y solo existe una cosa que puede separarlos: la muerte.Shelby Mahurin nos vuelve a atrapar con una historia cargada de acción, romance, lealtades y traiciones. Una vez que empieces a leer, no podrás soltar el libro.;Fantasy;Romance;Mahurin, Shelby;512;3.55;3;liked it;Dec 15, 2021;Nov 21, 2021
Serpent & Dove;Bound as one to love, honor, or burn.Two years ago, Louise le Blanc fled her coven and took shelter in the city of Cesarine, forsaking all magic and living off whatever she could steal. There, witches like Lou are hunted. They are feared. And they are burned.Sworn to the Church as a Chasseur, Reid Diggory has lived his life by one principle: thou shalt not suffer a witch to live. His path was never meant to cross with Lou's, but a wicked stunt forces them into an impossible union—holy matrimony.The war between witches and Church is an ancient one, and Lou's most dangerous enemies bring a fate worse than fire. Unable to ignore her growing feelings, yet powerless to change what she is, a choice must be made.And love makes fools of us all.This is a previously published edition of ISBN 9780062878021. An alternate cover edition can be found here.;Fantasy;Romance;Mahurin, Shelby;513;4.02;5;it was amazing;Nov 21, 2021;Nov 10, 2021
Fangirl;"In Rainbow Rowell's Fangirl, Cath is a Simon Snow fan. Okay, the whole world is a Simon Snow fan, but for Cath, being a fan is her life—and she’s really good at it. She and her twin sister, Wren, ensconced themselves in the Simon Snow series when they were just kids; it’s what got them through their mother leaving.Reading. Rereading. Hanging out in Simon Snow forums, writing Simon Snow fan fiction, dressing up like the characters for every movie premiere.Cath’s sister has mostly grown away from fandom, but Cath can’t let go. She doesn’t want to.Now that they’re going to college, Wren has told Cath she doesn’t want to be roommates. Cath is on her own, completely outside of her comfort zone. She’s got a surly roommate with a charming, always-around boyfriend, a fiction-writing professor who thinks fan fiction is the end of the civilized world, a handsome classmate who only wants to talk about words . . . And she can’t stop worrying about her dad, who’s loving and fragile and has never really been alone.For Cath, the question is: Can she do this? Can she make it without Wren holding her hand? Is she ready to start living her own life? And does she even want to move on if it means leaving Simon Snow behind?";Young Adult;Romance;Rowell, Rainbow;448;3.97;2;it was ok;Oct 18, 2021;Jul 19, 2021
Majesty;"Is America ready for its first queen?Power is intoxicating. Like first love, it can leave you breathless. Princess Beatrice was born with it. Princess Samantha was born with less. Some, like Nina Gonzalez, are pulled into it. And a few will claw their way in. Ahem, we're looking at you Daphne Deighton.As America adjusts to the idea of a queen on the throne, Beatrice grapples with everything she lost when she gained the ultimate crown. Samantha is busy living up to her ""party princess"" persona...and maybe adding a party prince by her side. Nina is trying to avoid the palace--and Prince Jefferson--at all costs. And a dangerous secret threatens to undo all of Daphne's carefully laid ""marry Prince Jefferson"" plans.A new reign has begun....";Romance;Young Adult;McGee, Katharine;374;3.75;4;really liked it;Oct 13, 2021;Oct 10, 2021
We Were Liars;"A beautiful and distinguished family.A private island.A brilliant, damaged girl; a passionate, political boy.A group of four friends—the Liars—whose friendship turns destructive.A revolution. An accident. A secret.Lies upon lies.True love.The truth. We Were Liars is a modern, sophisticated suspense novel from New York Times bestselling author, National Book Award finalist, and Printz Award honoree E. Lockhart. Read it.And if anyone asks you how it ends, just LIE.";Young Adult;Mystery;Lockhart, E.;242;3.71;3;liked it;Oct 10, 2021;Jul 19, 2021
The Hating Game;Debut author Sally Thorne bursts on the scene with a hilarious and sexy workplace comedy all about that thin, fine line between hate and love.Nemesis (n.) 1) An opponent or rival whom a person cannot best or overcome.2) A person’s undoing3) Joshua TemplemanLucy Hutton has always been certain that the nice girl can get the corner office. She’s charming and accommodating and prides herself on being loved by everyone at Bexley & Gamin. Everyone except for coldly efficient, impeccably attired, physically intimidating Joshua Templeman. And the feeling is mutual.Trapped in a shared office together 40 (OK, 50 or 60) hours a week, they’ve become entrenched in an addictive, ridiculous never-ending game of one-upmanship. There’s the Staring Game. The Mirror Game. The HR Game. Lucy can’t let Joshua beat her at anything—especially when a huge new promotion goes up for the taking.If Lucy wins this game, she’ll be Joshua’s boss. If she loses, she’ll resign. So why is she suddenly having steamy dreams about Joshua, and dressing for work like she’s got a hot date? After a perfectly innocent elevator ride ends with an earth shattering kiss, Lucy starts to wonder whether she’s got Joshua Templeman all wrong.Maybe Lucy Hutton doesn’t hate Joshua Templeman. And maybe, he doesn’t hate her either. Or maybe this is just another game. ??;Romance;Contemporary;Thorne, Sally;387;3.95;4;really liked it;Oct 10, 2021;Sep 09, 2021
American Royals;What if America had a royal family? When America won the Revolutionary War, its people offered General George Washington a crown. Two and a half centuries later, the House of Washington still sits on the throne.As Princess Beatrice gets closer to becoming America's first queen regnant, the duty she has embraced her entire life suddenly feels stifling.Nobody cares about the spare except when she's breaking the rules, so Princess Samantha doesn't care much about anything, either . . . except the one boy who is distinctly off-limits to her.And then there's Samantha's twin, Prince Jefferson. If he'd been born a generation earlier, he would have stood first in line for the throne, but the new laws of succession make him third. Most of America adores their devastatingly handsome prince . . . but two very different girls are vying to capture his heart.;Romance;Young Adult;McGee, Katharine;441;3.84;4;really liked it;Oct 10, 2021;Jul 19, 2021
Matar un reino;"«La magnífica construcción del mundo y una acción trepidante mantendrán embelesados a los lectores en esta maquiavélica reinterpretación de La sirenita.» Booklist«Los aficionados a la fantasía amarán esta historia de príncipes piratas y sirenas asesinas.» School Library JournalCon una colección de diecisiete corazones de príncipes en su haber, Lira es una sirena venerada en todos los confines del reino submarino. Pero un desliz provoca que su madre, la Reina del Mar, la transforme en lo que más aborrece: un ser humano. Privada de su canto, Lira dispondrá hasta el solsticio de invierno para entregar el corazón del príncipe Elian a la Reina del Mar o permanecer como humana para siempre.A pesar de ser el heredero del reino más poderoso de la Tierra, para el príncipe Elian el océano es su verdadero hogar; y dar caza a las sirenas, su misión en la vida. Cuando rescata a una mujer a punto de morir ahogada, sabe que es más de lo que aparenta, pero ella promete ayudarlo a encontrar la clave para exterminar a las sirenas para siempre. ¿Podrá Elian confiar en su palabra? ¿Y hasta dónde tendrá que ceder para erradicar al más temible enemigo del hombre?";Fantasy;Young Adult;Christo, Alexandra;404;3.78;3;liked it;Sep 23, 2021;Sep 12, 2021
The Seven Husbands of Evelyn Hugo;Aging and reclusive Hollywood movie icon Evelyn Hugo is finally ready to tell the truth about her glamorous and scandalous life. But when she chooses unknown magazine reporter Monique Grant for the job, no one is more astounded than Monique herself. Why her? Why now?Monique is not exactly on top of the world. Her husband has left her, and her professional life is going nowhere. Regardless of why Evelyn has selected her to write her biography, Monique is determined to use this opportunity to jumpstart her career.Summoned to Evelyn’s luxurious apartment, Monique listens in fascination as the actress tells her story. From making her way to Los Angeles in the 1950s to her decision to leave show business in the ‘80s, and, of course, the seven husbands along the way, Evelyn unspools a tale of ruthless ambition, unexpected friendship, and a great forbidden love. Monique begins to feel a very real connection to the legendary star, but as Evelyn’s story near its conclusion, it becomes clear that her life intersects with Monique’s own in tragic and irreversible ways.;Fiction;Historical Fiction;Reid, Taylor Jenkins;389;4.46;5;it was amazing;Sep 09, 2021;Jul 19, 2021
I'll Give You the Sun;"At first, Jude and her twin brother Noah, are inseparable. Noah draws constantly and is falling in love with the charismatic boy next door, while daredevil Jude wears red-red lipstick, cliff-dives, and does all the talking for both of them. Years later, they are barely speaking. Something has happened to change the twins in different yet equally devastating ways... but then Jude meets an intriguing, irresistible boy and a mysterious new mentor. The early years are Noah's to tell; the later years are Jude's. But they each have only half the story, and if they can only find their way back to one another, they'll have a chance to remake their world. This radiant, award-winning novel from the acclaimed author of The Sky Is Everywhere will leave you breathless and teary and laughing—often all at once.Printz Award Winner Stonewall Honor Book.";Young Adult;Contemporary;Nelson, Jandy;371;4.16;5;it was amazing;Aug 11, 2021;Jul 19, 2021
Rojo, blanco y sangre azul;Alex Clarademont-Díaz, el hijo milenial de la presidenta de los Estados Unidos, es un tesoro para el marketing de la Casa Blanca: atractivo, carismático e inteligente. Lo que nadie sabe es que no soporta al príncipe Henry, el hijo de la reina de Inglaterra. Así que, cuando la prensa sensacionalista se hace con una fotografía que refleja un altercado entre Alex y Henry, las relaciones entre Estados Unidos y el Reino Unido se enfrían. Ambos países trazan un plan para paliar los daños. lo que empieza como una falsa amistad, publicada en Instagram, se va transformando en algo más profundo de lo que Alex y Henry podrían haber imaginado. ¿PUEDE EL AMOR CAMBIAR EL MUNDO?;Romance;LGBT;McQuiston, Casey;496;4.13;5;it was amazing;Aug 07, 2021;Aug 07, 2021
Aristotle and Dante Discover the Secrets of the Universe;Dante can swim. Ari can't. Dante is articulate and self-assured. Ari has a hard time with words and suffers from self-doubt. Dante gets lost in poetry and art. Ari gets lost in thoughts of his older brother who is in prison. Dante is fair skinned. Ari's features are much darker. It seems that a boy like Dante, with his open and unique perspective on life, would be the last person to break down the walls that Ari has built around himself.But against all odds, when Ari and Dante meet, they develop a special bond that will teach them the most important truths of their lives, and help define the people they want to be. But there are big hurdles in their way, and only by believing in each other?and the power of their friendship?can Ari and Dante emerge stronger on the other side.;Young Adult;LGBT;Sáenz, Benjamin Alire;359;4.34;5;it was amazing;Jul 26, 2021;Jul 19, 2021
Siega;Antes, las personas morían por causas naturales. Existían asesinos invisibles llamados enfermedades, el envejecimiento era irreversible y se producían accidentes de los que no se podía regresar.Ahora, todo eso ha quedado atrás y sólo perdura una verdad muy simple: la gente tiene que morir. Y esa es la tarea de los segadores. Porque en un futuro donde la humanidad controla la muerte, ¿quién decide cuándo y cómo sembrarla?Citra y Rowan acaban de ser seleccionados como aprendices de segadores. ¿Su objetivo? Superar las pruebas de su mentor, sean las que sean. Aunque en el proceso renuncien a todo lo que les hace humanos.;Young Adult;Fantasy;Shusterman, Neal;524;4.33;4;really liked it;Jul 24, 2021;Jul 25, 2021
Hush, Hush;A SACRED OATHA FALLEN ANGELA FORBIDDEN LOVERomance was not part of Nora Grey's plan. She's never been particularly attracted to the boys at her school, no matter how hard her best friend, Vee, pushes them at her. Not until Patch comes along. With his easy smile and eyes that seem to see inside her, Patch draws Nora to him against her better judgment.But after a series of terrifying encounters, Nora's not sure whom to trust. Patch seems to be everywhere she is and seems to know more about her than her closest friends. She can't decide whether she should fall into his arms or run and hide. And when she tries to seek some answers, she finds herself near a truth that is way more unsettling than anything Patch makes her feel.For she is right in the middle of an ancient battle between the immortal and those that have fallen - and, when it comes to choosing sides, the wrong choice will cost Nora her life.;Young Adult;Fantasy;Fitzpatrick, Becca;391;3.93;2;it was ok;Jan 2017;Jul 19, 2021
